2023/08/05 15:22:41.789 [E] [xgo.go:47]  读取配置文件失败 Config File "configx" Not Found in "[D:\\xgo D:\\xgo\\configx]"
2023/08/05 19:35:50.485 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:35:57.343 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:35:57.901 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:36:11.871 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:36:12.436 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:36:31.954 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:36:32.509 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:37:02.172 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:37:02.732 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:40:53.225 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:40:53.691 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:43:24.651 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:43:25.170 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:43:33.387 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:43:33.900 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:44:58.470 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:44:58.983 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:46:01.224 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:46:01.747 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:46:06.474 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:46:06.993 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:46:17.363 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:46:17.888 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:46:40.149 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:46:40.663 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:47:31.237 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:47:31.750 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:47:35.072 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:47:35.585 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:47:43.782 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:47:46.666 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:47:47.179 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:49:07.900 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:49:08.417 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:49:41.839 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:49:42.363 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:49:57.638 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:49:58.136 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:50:56.533 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:50:57.022 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:51:13.062 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:51:13.554 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:58:21.716 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:58:22.249 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:00:18.800 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:00:19.329 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:00:50.336 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:00:50.869 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:01:10.517 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:01:11.043 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:03:15.583 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:03:16.144 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:03:51.519 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:03:52.080 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:03:59.624 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:04:00.188 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:05:01.229 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:05:01.748 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:05:04.665 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:05:05.186 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:05:58.912 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:05:59.436 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:07:31.722 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:07:32.248 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:08:03.436 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:08:03.957 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:08:11.322 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:08:11.846 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:08:31.627 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:08:32.119 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:09:40.671 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:09:41.170 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:11:12.412 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:11:12.907 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:12:03.117 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:12:03.609 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:12:17.019 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:12:17.513 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:12:47.428 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:12:47.920 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:12:51.186 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:12:51.679 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:13:16.402 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:13:16.897 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:13:34.416 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:13:34.913 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:13:49.201 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:13:49.693 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:16:05.711 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:16:08.579 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:16:09.073 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:17:59.377 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:17:59.880 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:18:23.417 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:18:23.919 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:20:35.866 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:20:36.372 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 20:21:26.457 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 20:21:26.959 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
